z,H_SI,H_km_s_Mpc
1.9275,6.403694568715044e-18,197.5973676940204
1.92875,6.407470695536075e-18,197.71388679278564
1.93,6.411247821967184e-18,197.83043673629496
1.9312500000000001,6.415025947620104e-18,197.94701751256767
1.9325,6.418805072107011e-18,198.06362910963682
1.93375,6.422585195040538e-18,198.1802715155495
1.935,6.426366316033762e-18,198.29694471836646
1.93625,6.4301484347002055e-18,198.4136487061623
1.9375,6.4339315506538405e-18,198.53038346702544
1.93875,6.437715663509082e-18,198.64714898905797
1.94,6.441500772880795e-18,198.76394526037583
1.9412500000000001,6.4452868783842826e-18,198.88077226910858
1.9425000000000001,6.449073979635295e-18,198.99763000339942
1.94375,6.452862076250025e-18,199.1145184514054
1.945,6.456651167845111e-18,199.23143760129713
1.94625,6.460441254037623e-18,199.34838744125867
1.9475,6.464232334445082e-18,199.46536795948796
1.94875,6.468024408685448e-18,199.5823791441964
1.95,6.471817476377114e-18,199.69942098360895
1.9512500000000002,6.475611537138915e-18,199.81649346596402
1.9525000000000001,6.4794065905901296e-18,199.93359657951376
1.95375,6.483202636350464e-18,200.05073031252357
1.955,6.486999674040068e-18,200.16789465327244
1.95625,6.490797703279525e-18,200.28508959005285
1.9575,6.494596723689854e-18,200.40231511117065
1.95875,6.498396734892509e-18,200.51957120494515
1.96,6.5021977365093745e-18,200.63685785970887
1.96125,6.505999728162772e-18,200.75417506380793
1.9625000000000001,6.509802709475459e-18,200.87152280560184
1.96375,6.513606680070614e-18,200.98890107346304
1.965,6.5174116395718544e-18,201.10630985577765
1.96625,6.5212175876032296e-18,201.22374914094502
1.9675,6.5250245237892114e-18,201.34121891737755
1.96875,6.528832447754706e-18,201.45871917350104
1.97,6.532641359125048e-18,201.57624989775454
1.97125,6.536451257525998e-18,201.69381107859027
1.9725000000000001,6.540262142583745e-18,201.81140270447358
1.9737500000000001,6.5440740139248996e-18,201.92902476388286
1.975,6.547886871176506e-18,202.04667724530995
1.97625,6.551700713966027e-18,202.16436013725954
1.9775,6.5555155419213516e-18,202.28207342824945
1.97875,6.559331354670793e-18,202.39981710681064
1.98,6.563148151843088e-18,202.51759116148713
1.98125,6.566965933067394e-18,202.63539558083596
1.9825000000000002,6.570784697973292e-18,202.7532303534271
1.9837500000000001,6.57460444619078e-18,202.87109546784353
1.985,6.57842517735028e-18,202.98899091268132
1.98625,6.582246891082633e-18,203.1069166765493
1.9875,6.586069587019098e-18,203.22487274806937
1.98875,6.589893264791352e-18,203.34285911587628
1.99,6.593717924031492e-18,203.4608757686177
1.99125,6.597543564372028e-18,203.57892269495414
1.9925,6.60137018544589e-18,203.69699988355893
1.9937500000000001,6.605197786886424e-18,203.81510732311833
1.995,6.609026368327384e-18,203.93324500233115
1.99625,6.612855929402946e-18,204.0514129099093
1.9975,6.616686469747698e-18,204.1696110345773
1.99875,6.620517988996639e-18,204.2878393650724
2.0,6.62435048678518e-18,204.40609789014457
2.00125,6.628183962749149e-18,204.5243865985566
2.0025,6.632018416524775e-18,204.64270547908373
2.00375,6.6358538477487086e-18,204.76105452051416
2.005,6.639690256058002e-18,204.87943371164852
2.00625,6.643527641090121e-18,204.99784304130011
2.0075,6.6473660024829345e-18,205.1162824982948
